Pemain;Klub;Posisi
Harmoko (pemain sepak bola);Persiwa Wamena;Striker
Harmoko (pemain sepak bola);Perseta Tulungagung;Striker
Rachmat Affandi;Persebaya Surabaya;Striker
Rachmat Affandi;Persib Bandung;Striker
Rachmat Affandi;Persija Jakarta;Striker
Rachmat Affandi;Persikabo Bogor;Striker
Rachmat Affandi;PSMS Medan;Striker
Rachmat Affandi;Pelita Jaya;Striker
Rachmat Affandi;Arema Indonesia;Striker
Rachmat Affandi;Persibom;Striker
Gery Setia Adi Nugraha;Persela Lamongan;Striker
Gery Setia Adi Nugraha;Pelita Jaya;Striker
Gery Setia Adi Nugraha;Arema Indonesia;Striker
Jalaluddin Main;Pelita Jaya;Gelandang
Jalaluddin Main;Arema Indonesia;Gelandang
Munadi;Persib Bandung;Gelandang
Munadi;Persibo Bojonegoro;Gelandang
Andi Oddang;PSM Makassar;Penyerang
Yoewanto Stya Beny;Arema Indonesia;Kiper
Syamsir Alam;DC United;Penyerang
Irvin Museng;Medan Chief;Striker
Irvin Museng;Pro Duta Bandung;Striker
Firmansyah Aprillianto;Persekam Metro FC;Gelandang
Firmansyah Aprillianto;Arema Indonesia;Gelandang
Iswan Karim;Arema Indonesia;Kiper
Iswan Karim;PKT Bontang;Kiper
Iswan Karim;Persija;Kiper
Iswan Karim;Persitara;Kiper
Iswandi Dai;Persema Malang;Midfielder
Iswandi Dai;Persibo Bojonegoro;Midfielder
Diva Tarkas;Persijap Jepara;Gelandang
Diva Tarkas;PSM Makassar;Gelandang
Aditya Putra Dewa;PSM Makassar;Gelandang
Asri Akbar;Persim Maros;Gelandang
Dwi Sasmianto;Persegres Gresik;Pelatih Kiper
Dwi Sasmianto;Persema Malang;Pelatih Kiper
Dwi Sasmianto;Arema Malang;Pelatih Kiper
Dwi Sasmianto;Barito Putra;Pelatih Kiper
Djayusman Triasdi;Persebaya Surabaya;Defender
Djayusman Triasdi;PSM Makassar;Defender
Reza Mustofa;Persema Malang;Penyerang
Reza Mustofa;Persewangi Banyuwangi;Penyerang
Reza Mustofa;Mojokerto Putra;Penyerang
Yesaya Desnam;Persiwa Wamena;Pemain bertahan
Ruben Wuarbanaran;C.S. Visé;Bek
Ruben Wuarbanaran;Pelita Jaya;Bek
Egi Melgiansyah;Arema FC;Gelandang
Egi Melgiansyah;Pelita Jaya;Gelandang
Diego Michiels;Pelita Jaya Jawa Barat;Bek
Novan Setyo Sasongko;Persibo Bojonegoro;Defender
Novan Setyo Sasongko;Semen Padang FC;Defender
Muhammad Hamzah;Persibo Bojonegoro;Defender
Aries Tuansyah;Persibo Bojonegoro;Defender
Nurhidayat;Persibo Bojonegoro;Midfielder
Ardana (pemain sepak bola);PS Bengkulu;Penjaga gawang
Wahyu Tri Nugroho;Persiba Bantul;Kiper
Wahyu Tri Nugroho;Persis Solo;Kiper
Egi Malgiansyah;Pelita Jaya Jawa Barat;Gelandang
Joko Sasongko;Pelita Jaya Jawa Barat;Penyerang
Joko Sasongko;Persijatim Jakarta Timur;Penyerang
Andesi Setyo Prabowo;Pelita Jaya U-21;Penyerang
Andesi Setyo Prabowo;Persibas Banyumas;Penyerang
Andesi Setyo Prabowo;Pelita Jaya Jawa Barat;Penyerang
April Hadi;PSPS;Pemain tengah
Victor Igbonefo;Persipura Jayapura;Defender
Victor Igbonefo;Arema FC;Defender
Victor Igbonefo;Pelita Bandung Raya;Defender
I Made Wardana;Persikab Bandung;Penjaga Gawang
I Made Wardana;Pelita Jaya Jawa Barat;Penjaga Gawang
