Pemain;Klub;Posisi
Juan Revi;Persikoba Batu;Gelandang
Jumadi Abdi;Persiba Balikpapan;Gelandang
Jumadi Abdi;Persikota Tangerang;Gelandang
Jumadi Abdi;Bontang FC;Gelandang
Jumadi Abdi;Pelita Jaya Jawa Barat;Gelandang
Kim Jeffrey Kurniawan;Persema Malang;Midfielder
Korinus Fingkreuw;Persipura Jayapura;Penyerang
Kurnia Meiga Hermansyah;Arema Indonesia;Penjaga gawang
Kurniawan Dwi Yulianto;FC Luzern;Penyerang
Kurniawan Dwi Yulianto;Persebaya Surabaya;Penyerang
Kurniawan Dwi Yulianto;Persela Lamongan;Penyerang
Kurniawan Dwi Yulianto;Persija Jakarta;Penyerang
Kurniawan Dwi Yulianto;Persipon Pontianak;Penyerang
Kurniawan Dwi Yulianto;Persisam Putra Samarinda;Penyerang
Kurniawan Dwi Yulianto;Persitara Jakarta Utara;Penyerang
Kurniawan Dwi Yulianto;PSM Makassar;Penyerang
Kurniawan Dwi Yulianto;PSMS Medan;Penyerang
Kurniawan Dwi Yulianto;PSPS Pekanbaru;Penyerang
Kurniawan Dwi Yulianto;PSS Sleman;Penyerang
Kurniawan Dwi Yulianto;PPSM Magelang;Penyerang
Kurniawan Dwi Yulianto;Sampdoria;Penyerang
Kurniawan Dwi Yulianto;Pelita Jaya Jawa Barat;Penyerang
Leonard Tupamahu;Persija Jakarta;Pemain bertahan
Leonard Tupamahu;Arema Indonesia;Pemain bertahan
Maman Abdurrahman;Persib Bandung;Bek
Maman Abdurrahman;PSIS Semarang;Bek
Maman Abdurrahman;Persijatim;Bek
Markus Haris Maulana;Persib Bandung;Kiper
Markus Haris Maulana;Persik Kediri;Kiper
Markus Haris Maulana;PSMS Medan;Kiper
Markus Haris Maulana;Arema Indonesia;Kiper
Muhammad Roby;Persija Jakarta;Bek
Muhammad Roby;Persikad Depok;Bek
Muhammad Roby;Persik Kediri;Bek
Muhammad Roby;Persisam Samarinda;Bek
Muhammad Yasir;Arema Malang;Kiper
Muhammad Yasir;Persikota;Kiper
Muhammad Yasir;Persija;Kiper
Muhammad Yasir;Persijap;Kiper
Nasrul Koto;Semen Padang;Striker
Nasrul Koto;Arseto Solo;Striker
Noor Hadi;Persijap Jepara;Penyerang
Nova Arianto;Persebaya Surabaya;Bek
Nova Arianto;Persib Bandung;Bek
Nova Arianto;PSIS Semarang;Bek
Nova Arianto;PSS Sleman;Bek
Nova Arianto;Arseto Solo;Bek
Ortizan Solossa;Persija Jakarta;Bek
Ortizan Solossa;Persipura Jayapura;Bek
Ortizan Solossa;PSM Makassar;Bek
Ortizan Solossa;Arema Malang;Bek
Patrich Wanggai;Perseman Manokwari;Penyerang
Patrich Wanggai;Persidafon Dafonsoro;Penyerang
Ponaryo Astaman;Persija Jakarta;Gelandang
Ponaryo Astaman;PSM Makassar;Gelandang
Ponaryo Astaman;Sriwijaya FC;Gelandang
Ponaryo Astaman;Bontang FC;Gelandang
Ponaryo Astaman;Arema Malang;Gelandang
Rachmat Latief;Persiba Balikpapan;Defender
Rachmat Latief;PSM Makassar;Defender
Rachmat Latief;Sriwijaya FC;Defender
Rahmat Rivai;Persegres Gresik;Penyerang
Rahmat Rivai;Persebaya Surabaya;Penyerang
Rahmat Rivai;Persipura Jayapura;Penyerang
Rahmat Rivai;Persitara Jakarta Utara;Penyerang
Rahmat Rivai;Persiter Ternate;Penyerang
Rahmat Rivai;PSPS Pekanbaru;Penyerang
Rahmat Rivai;Sriwijaya FC;Penyerang
Rahmat Rivai;Sriwijaya F.C.;Penyerang
Rizky Ramdani Lestaluhu;Persija Jakarta;Penyerang
Rizky Ramdani Lestaluhu;Sriwijaya FC;Penyerang
Roni Tri Prasnanto;Persekabpas Pasuruan;Kiper
Roni Tri Prasnanto;Persela Lamongan;Kiper
Roni Tri Prasnanto;Persija Jakarta;Kiper
Roni Tri Prasnanto;Persitara Jakarta Utara;Kiper
Ronny Firmansyah;Persela Lamongan;Gelandang
Ronny Firmansyah;Persmin Minahasa;Gelandang
Ronny Firmansyah;Arema Indonesia;Gelandang
Ronny Firmansyah;Persegi Gianyar;Gelandang
Rudi Widodo;Persela Lamongan;Penyerang
Rudi Widodo;Persibo Bojonegoro;Penyerang
Rudi Widodo;Persis Solo;Penyerang
Rudi Widodo;Persiter Ternate;Penyerang
Rudi Widodo;PSS Sleman;Penyerang
Rudi Widodo;Sriwijaya FC;Penyerang
Rudi Widodo;Persiku Kudus;Penyerang
Rudi Widodo;Sriwijaya F.C.;Penyerang
Rudi Widodo;Pelita Jaya FC;Penyerang
Saktiawan Sinaga;Persik Kediri;Penyerang
Saktiawan Sinaga;PSDS Deli Serdang;Penyerang
Saktiawan Sinaga;PSMS Medan;Penyerang
Saktiawan Sinaga;PSPS Pekanbaru;Penyerang
Saktiawan Sinaga;Arema Indonesia;Penyerang
Saktiawan Sinaga;Mitra Kukar;Penyerang
Saktiawan Sinaga;Semen Padang;Penyerang
Stefano Lilipaly;FC Utrecht;Midfielder
Steven Hendambo;Persiba Bantul;Defender
Steven Hendambo;Persipura Jayapura;Defender
Steven Hendambo;Persiram Raja Ampat;Defender
Steven Hendambo;Persitara Jakarta Utara;Defender
Steven Hendambo;Persidafon;Defender
Sultan Samma;Sriwijaya F.C.;Penyerang
Sunar Sulaiman;Persela Lamongan;Bek
Sunar Sulaiman;PSM Makassar;Bek
Sunar Sulaiman;Arema Malang;Bek
Sunar Sulaiman;Barito Putra;Bek
Sunarto;Arema Indonesia;Penyerang
Supaham;Delta Putra Sidoarjo;Penyerang
Supaham;Persebaya Surabaya;Penyerang
Supaham;Persedikab Kediri;Penyerang
Supaham;Persekabpas Pasuruan;Penyerang
Supaham;Persela Lamongan;Penyerang
Supaham;Persija Jakarta;Penyerang
Supaham;Persekaba Badung;Penyerang
Supaham;Persita Tangerang;Penyerang
Syaifudin;Deltras Sidoarjo;Penjaga gawang
Syamsul Bachri Chaeruddin;Persija Jakarta;Gelandang
Syamsul Bachri Chaeruddin;PSM Makassar;Gelandang
Tommy Pranata;PSDS Deli Serdang;Gelandang
Tommy Pranata;PSMS Medan;Gelandang
Tommy Pranata;Arema Indonesia;Gelandang
Tommy Pranata;Persisam Samarinda;Gelandang
Wahyu Wiji Astanto;Persiba Bantul;Bek
Wahyu Wiji Astanto;Persis Solo;Bek
Wahyu Wiji Astanto;Semen Padang FC;Bek
Waluyo;Persibas Banyumas;Bek
Waluyo;Persib Bandung;Bek
Waluyo;Arema Indonesia;Bek
Waluyo;Deltras Sidoarjo;Bek
Yongki Aribowo;Persik Kediri;Penyerang
Yongki Aribowo;Persisam Putra Samarinda;Penyerang
Yongki Aribowo;PS Barito Putera;Penyerang
Yongki Aribowo;Arema Indonesia;Penyerang
Yosua Pahabol;Semen Padang FC;Penyerang
Zaenal Arief;Persigar Garut;Striker
Johan Prasetyo;Persik Kediri;Penyerang
Firmansyah;Persikabo Bogor;Bek
Firmansyah;Persikota Tangerang;Bek
Firmansyah;Sriwijaya FC;Bek
Firmansyah;Pelita Jaya Purwakarta;Bek
Edi Kurnia;Persib Bandung;Kiper
Edi Kurnia;Pelita Bandung Raya;Kiper
Edi Kurnia;Persikad;Kiper
Edi Kurnia;PSMS;Kiper
Cecep Supriatna;Persib Bandung;Kiper
Cecep Supriatna;Sriwijaya FC;Kiper
Tubagus Tema Mursadat;Persib Bandung;Kiper
Tubagus Tema Mursadat;Persita Tangerang;Kiper
